,guid,color,isCodable,name,lvl_1,lvl_2,lvl_3
27,F338EC25-DCC3-47BE-969C-14DE2ABF384C,#6E6E6E,true,General message attributes > contentDomain > bug,General message attributes,contentDomain,bug
28,F39AF85B-6F0A-46DD-A2F4-1DC2B72EDB4C,#6E6E6E,true,General message attributes > contentDomain > platformRelated,General message attributes,contentDomain,platformRelated
29,820D1EF9-CEE5-48A0-959F-4EEC7973D3B2,#6E6E6E,true,General message attributes > contentDomain > codingExperience,General message attributes,contentDomain,codingExperience
30,BFD873C7-3D7A-421E-9E25-7C0E38009C2D,#6E6E6E,true,General message attributes > contentDomain > codingConcept,General message attributes,contentDomain,codingConcept
31,B9D21ADA-4B70-4294-BA8C-4B6EC19F4A74,#6E6E6E,true,General message attributes > contentDomain > codeSpecifications,General message attributes,contentDomain,codeSpecifications
32,4FF70B3A-7C4C-41F7-8588-46D728150616,#F00082,true,Questions > question > checkForFollowing,Questions,question,checkForFollowing
33,7B68ECBA-2749-4776-B260-A81487335047,#F00082,true,Questions > question > personal,Questions,question,personal
34,6C367D66-7EBE-4C5C-BD16-7D332FA53A55,#F00082,true,Questions > question > content,Questions,question,content
35,3EE7B6B2-7D7A-410B-A647-DD3BE0C8FB1C,#F00082,true,Questions > question > guiding,Questions,question,guiding
36,534411C7-5244-44CF-92D4-81179EDF168D,#F00082,true,Questions > question > checkIfCorrect,Questions,question,checkIfCorrect
37,FF9A0AB3-3FDA-4EA2-907D-792F183109FC,#F00082,true,Questions > specificity > vague,Questions,specificity,vague
38,AF54E626-5DB3-4DC7-86BB-2595F87B171C,#F00082,true,Questions > specificity > detailed,Questions,specificity,detailed
39,AC2D0B8E-E075-427C-B088-9232AC122638,#FFBE00,true,"Attitude, tone, or mood > expressNegativity > selfTalk","Attitude, tone, or mood",expressNegativity,selfTalk
40,F55C95CE-40B0-4DD2-9BBC-F43CC6850DEE,#FFBE00,true,"Attitude, tone, or mood > expressNegativity > aggression","Attitude, tone, or mood",expressNegativity,aggression
41,AD7BB2CA-8600-43A2-9523-FD0C795352B5,#FFBE00,true,"Attitude, tone, or mood > expressNegativity > beingLost","Attitude, tone, or mood",expressNegativity,beingLost
42,03D4D909-0886-4D64-8D63-DEA715A5E6CC,#FFBE00,true,"Attitude, tone, or mood > expressNegativity > frustration","Attitude, tone, or mood",expressNegativity,frustration
43,1D36394A-82EF-4784-BFC1-23AFD339254D,#FFBE00,true,"Attitude, tone, or mood > expressTeachingPhilosophy","Attitude, tone, or mood",expressTeachingPhilosophy,
44,D7EE21DB-DE94-4B0D-8DC0-D159B3A69F4E,#FFBE00,true,"Attitude, tone, or mood > expressPositivity > expressSupportingWords","Attitude, tone, or mood",expressPositivity,expressSupportingWords
45,EC6C793C-8E51-4B79-B5DE-3A9EA0CAE555,#FFBE00,true,"Attitude, tone, or mood > expressPositivity > apology","Attitude, tone, or mood",expressPositivity,apology
46,47320667-5DDF-4B6A-8DDC-20BAD1851788,#FFBE00,true,"Attitude, tone, or mood > expressPositivity > greeting","Attitude, tone, or mood",expressPositivity,greeting
47,E7E423D9-ECAD-4536-AC5A-3213E261D1D9,#FFBE00,true,"Attitude, tone, or mood > expressPositivity > beingWrong","Attitude, tone, or mood",expressPositivity,beingWrong
48,B95E9AC5-E717-4361-80A4-22B34F5B0474,#FFBE00,true,"Attitude, tone, or mood > expressPositivity > expressSatisfactionOrGratitude","Attitude, tone, or mood",expressPositivity,expressSatisfactionOrGratitude
